Iterations,Win,Draw ,Lose ,House Edge
1,0.31,0.0394,0.6481,0.3356
101,0.39,0.0531,0.5533,0.1597
201,0.39,0.0528,0.5556,0.164
301,0.43,0.0519,0.5141,0.0801
401,0.42,0.0522,0.5291,0.1104
501,0.42,0.0576,0.5208,0.0992
601,0.45,0.0507,0.5019,0.0545
701,0.43,0.0501,0.5186,0.0873
801,0.43,0.054,0.5121,0.0782
901,0.43,0.0575,0.5089,0.0753
1001,0.44,0.0573,0.5063,0.0699
1101,0.43,0.0573,0.5113,0.0799
1201,0.44,0.052,0.5067,0.0654
1301,0.44,0.0515,0.5045,0.0605
1401,0.44,0.0578,0.4991,0.056
1501,0.45,0.0548,0.4929,0.0406
1601,0.43,0.0537,0.5167,0.0871
1701,0.44,0.0526,0.5034,0.0594
1801,0.45,0.0583,0.4918,0.0419
1901,0.45,0.0553,0.4918,0.0389
2001,0.44,0.0499,0.5063,0.0625
2101,0.44,0.0615,0.4981,0.0577
2201,0.44,0.0555,0.5033,0.0621
2301,0.44,0.0598,0.4978,0.0554
2401,0.44,0.0555,0.5052,0.0659
2501,0.45,0.0539,0.4972,0.0483
2601,0.45,0.0556,0.4903,0.0362
2701,0.44,0.0625,0.5008,0.0641
2801,0.43,0.0557,0.512,0.0797
2901,0.44,0.0561,0.5014,0.0589
3001,0.45,0.0527,0.5011,0.0549
3101,0.45,0.0547,0.4922,0.0391
3201,0.44,0.058,0.5038,0.0656
3301,0.45,0.0544,0.4998,0.054
3401,0.46,0.0534,0.491,0.0354
3501,0.45,0.0578,0.4932,0.0442
3601,0.45,0.0542,0.4975,0.0492
3701,0.44,0.0565,0.5015,0.0595
3801,0.45,0.0531,0.5019,0.0569
3901,0.45,0.0525,0.4985,0.0495
4001,0.45,0.058,0.4923,0.0426
4101,0.44,0.059,0.5029,0.0648
4201,0.45,0.0603,0.4936,0.0475
4301,0.45,0.0529,0.4941,0.0411
4401,0.46,0.0528,0.4889,0.0306
4501,0.45,0.0538,0.4987,0.0512
4601,0.45,0.0558,0.4931,0.042
4701,0.45,0.0557,0.4901,0.0359
4801,0.45,0.0536,0.4958,0.0452
4901,0.44,0.0545,0.5038,0.0621
5001,0.45,0.0539,0.4988,0.0515
5101,0.46,0.0559,0.4882,0.0323
5201,0.45,0.0507,0.5017,0.0541
5301,0.46,0.0544,0.4854,0.0252
5401,0.45,0.059,0.4926,0.0442
5501,0.46,0.0572,0.4855,0.0282
5601,0.45,0.0557,0.4906,0.0369
5701,0.46,0.0538,0.4889,0.0316
5801,0.45,0.054,0.4959,0.0458
5901,0.44,0.0528,0.504,0.0608
6001,0.46,0.0531,0.4907,0.0345
6101,0.46,0.0549,0.4856,0.0261
6201,0.45,0.0483,0.4978,0.0439
6301,0.45,0.0547,0.4914,0.0375
6401,0.45,0.0587,0.4921,0.0429
6501,0.45,0.0553,0.4932,0.0417
6601,0.45,0.0564,0.4906,0.0376
6701,0.45,0.0548,0.4953,0.0454
6801,0.45,0.0515,0.4943,0.0401
6901,0.45,0.0632,0.4851,0.0334
7001,0.46,0.0587,0.4848,0.0283
7101,0.45,0.0609,0.4859,0.0327
7201,0.44,0.0527,0.5034,0.0595
7301,0.45,0.0514,0.5008,0.053
7401,0.46,0.0569,0.4865,0.0299
7501,0.44,0.0595,0.4974,0.0543
7601,0.45,0.0581,0.4888,0.0357
7701,0.45,0.0553,0.4953,0.0459
7801,0.45,0.0543,0.4999,0.0541
7901,0.46,0.0574,0.4853,0.028
8001,0.45,0.0536,0.4918,0.0372
8101,0.44,0.0537,0.5027,0.0591
8201,0.45,0.0554,0.4937,0.0428
8301,0.46,0.0536,0.4867,0.027
8401,0.46,0.0526,0.4917,0.036
8501,0.45,0.06,0.4853,0.0306
8601,0.46,0.0531,0.4904,0.0339
8701,0.46,0.0597,0.4781,0.0159
8801,0.46,0.0599,0.477,0.0139
8901,0.46,0.0548,0.4859,0.0266
9001,0.45,0.0543,0.4993,0.0529
9101,0.45,0.0605,0.4853,0.0311
9201,0.44,0.055,0.502,0.059
9301,0.46,0.055,0.4834,0.0218
9401,0.45,0.0538,0.4917,0.0372
9501,0.46,0.0556,0.4884,0.0324
9601,0.46,0.0581,0.4866,0.0313
9701,0.46,0.0544,0.4878,0.03
9801,0.45,0.0556,0.4918,0.0392
9901,0.46,0.0546,0.4829,0.0204
10001,0.45,0.0553,0.4929,0.0411
10101,0.45,0.053,0.4949,0.0428
10201,0.46,0.0566,0.4864,0.0294
10301,0.45,0.0511,0.4941,0.0393
10401,0.46,0.0576,0.4864,0.0304
10501,0.45,0.0537,0.4966,0.0469
10601,0.45,0.0588,0.4895,0.0378
10701,0.46,0.0576,0.4783,0.0142
10801,0.46,0.0585,0.4788,0.0161
10901,0.46,0.0573,0.4855,0.0283
11001,0.46,0.057,0.4831,0.0232
11101,0.47,0.056,0.4776,0.0112
11201,0.46,0.0593,0.4853,0.0299
11301,0.46,0.0592,0.4839,0.027
11401,0.46,0.0604,0.4821,0.0246
11501,0.46,0.0547,0.4848,0.0243
11601,0.46,0.0518,0.4894,0.0306
11701,0.45,0.0563,0.4913,0.0389
11801,0.45,0.0527,0.4947,0.0421
11901,0.45,0.0533,0.4935,0.0403
12001,0.45,0.0555,0.4916,0.0387
12101,0.46,0.0593,0.4851,0.0295
12201,0.45,0.0558,0.4912,0.0382
12301,0.46,0.0569,0.4845,0.0259
12401,0.46,0.0548,0.4873,0.0294
12501,0.47,0.0526,0.4757,0.004
12601,0.45,0.0596,0.488,0.0356
12701,0.45,0.0548,0.4979,0.0506
12801,0.45,0.0584,0.49,0.0384
12901,0.46,0.0544,0.4844,0.0232
13001,0.46,0.053,0.4836,0.0202
13101,0.45,0.0568,0.4928,0.0424
13201,0.45,0.061,0.4856,0.0322
13301,0.45,0.0544,0.4947,0.0438
13401,0.45,0.0588,0.4911,0.041
13501,0.45,0.0616,0.4855,0.0326
13601,0.46,0.0528,0.4867,0.0262
13701,0.45,0.054,0.4972,0.0484
13801,0.45,0.053,0.4928,0.0386
13901,0.45,0.0578,0.4882,0.0342
14001,0.47,0.0527,0.4795,0.0117
14101,0.45,0.0564,0.492,0.0404
14201,0.46,0.0538,0.4895,0.0328
14301,0.45,0.0538,0.4999,0.0536
14401,0.45,0.0556,0.4912,0.038
14501,0.45,0.0529,0.4971,0.0471
14601,0.46,0.0563,0.4837,0.0237
14701,0.47,0.0569,0.471,-0.0011
14801,0.45,0.0563,0.493,0.0423
14901,0.46,0.0548,0.4841,0.023
15001,0.46,0.0553,0.4866,0.0285
15101,0.46,0.0521,0.4836,0.0193
15201,0.45,0.0546,0.4914,0.0374
15301,0.45,0.058,0.4951,0.0482
15401,0.46,0.0526,0.4904,0.0334
15501,0.46,0.0567,0.4794,0.0155
15601,0.45,0.0533,0.4929,0.0391
15701,0.45,0.0581,0.4896,0.0373
15801,0.45,0.0568,0.4917,0.0402
15901,0.47,0.052,0.482,0.016
16001,0.45,0.0562,0.4922,0.0406
