Iteration ,Q-Learning,Sarsa,Temporal Difference 1
1,31.98%,32.26%,31.07%
1001,44.93%,43.93%,44.08%
2001,44.16%,44.57%,44.78%
3001,45.57%,45.43%,44.26%
4001,44.73%,44.02%,44.54%
5001,44.14%,44.91%,46.03%
6001,45.41%,44.49%,44.41%
7001,45.70%,45.38%,45.07%
8001,45.20%,45.72%,44.52%
9001,45.37%,44.89%,46.09%
10001,45.80%,44.97%,44.69%
11001,45.47%,44.79%,44.71%
12001,46.10%,44.72%,45.20%
13001,45.78%,44.92%,45.61%
14001,45.16%,44.50%,44.27%
15001,45.20%,44.55%,45.99%
16001,45.41%,44.52%,45.48%
17001,45.37%,43.93%,44.78%
18001,45.49%,44.54%,45.80%
19001,45.96%,45.80%,45.57%
20001,45.89%,45.67%,45.06%
21001,46.56%,44.92%,45.97%
22001,45.71%,45.26%,46.33%
23001,45.89%,45.40%,45.09%
24001,45.71%,45.33%,45.58%
25001,46.14%,44.63%,44.98%
